species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Rose-breasted Grosbeak,BBS,-23,Little Change,Cardinal à poitrine rose,Pheucticus ludovicianus,2051,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,Included in group,,,,,,BRE,-23.2,-0.2
Roseate Tern,Colony Counts Atlantic,-40,Decrease,Sterne de Dougall,Sterna dougallii,612,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,-40.1,-0.1
Ross's Goose,Lincoln Estimate,1600,Increase,Oie de Ross,Anser rossii,13,Lincoln Estimate,Lincoln Estimate,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,1560,-40
Ross's Gull,NA,NA,NA,Mouette rosée,Rhodostethia rosea,573,no acceptable data for indicator,Site specific surveys as listed in COSEWIC report,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Rough-legged Hawk,CBC NA,2.4,Little Change,Buse pattue,Buteo lagopus,819,CBC NA,CBC NA,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,2.39,-0.01
Ruby-crowned Kinglet,CBC NA,-30,Decrease,Roitelet à couronne rubis,Regulus calendula,1516,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,-30,0
Ruby-throated Hummingbird,BBS,63,Increase,Colibri à gorge rubis,Archilochus colubris,331,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,Included in group,,,,,,BRE,62.6,-0.4
Ruddy Duck,Western Waterfowl,150,Increase,Érismature rousse,Oxyura jamaicensis,79,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,155,5
Ruddy Turnstone,Shorebird,-85,Decrease,Tournepierre à collier,Arenaria interpres,481,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-85.4,-0.4
Ruff,NA,NA,NA,Combattant varié,Calidris pugnax,486,no acceptable data for indicator,NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
