species,survey,percent.change,pop.change,French_Name,Scientific_Name,Sort_Order,Index.data.source,Primary.Survey.2017.SOBC.original,nationalalt.All.birds,national.Other.birds,nationalalt.arctic,nationalalt.shrub,nationalalt.suburban,national.Forest.birds,national.Grassland.birds,national.Shorebirds,national.other.wetland.birds,nationalalt.wetland.birds,national.Waterfowl,national.diurnal.raptors,national.Aerial.insectivores,national.Canadian.nesting.Seabirds,nationalalt.range.expansion,grassland.native.grassland,grassland.other,seabirds.Atlantic,seabirds.Pacific,seabirds.alcids,seabirds.nonalcid,seabirds.Arctic,shorebirds.longdistance,shorebirds.other,forest.mature,forest.young,forest.boreal,forest.eastern,forest.western,forest.broad,forestm.Canada,forestm.south.america,forestm.forest.crop.specialists,forestm.Mex.CAm.US,waterfowl.geese,waterfowl.ducks,waterfowl.other.wetland.birds,rapAI.diurnal.raptors,rapAI.Aerial.insectivores,CDN_Status,approximate_percent_change,
Acadian Flycatcher,NA,NA,NA,Moucherolle vert,Empidonax virescens,1221,no acceptable data for indicator,Acadian Flycatcher/Hooded Warbler Recovery Team,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,Included in group,,,,,,,,BRE,NA,#VALUE!
Alder Flycatcher,BBS,30,Little Change,Moucherolle des aulnes,Empidonax alnorum,1222,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,Included in group,,,,,,,,BRE,29.7,-0.3
American Avocet,BBS,170,Increase,Avocette d'Amérique,Recurvirostra americana,443,BBS,BBS,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,119,-51
American Bittern,BBS,-33,Decrease,Butor d'Amérique,Botaurus lentiginosus,726,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-32.6,0.4
American Black Duck,EWS_Combined,-0.31,Little Change,Canard noir,Anas rubripes,48,EWS_Combined,EWS_Combined,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,-0.308,0.002
American Coot,Western Waterfowl,280,Increase,Foulque d'Amérique,Fulica americana,434,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,278,-2
American Crow,BBS,-22,Little Change,Corneille d'Amérique,Corvus brachyrhynchos,1393,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-21.6,0.4
American Dipper,BBS,-10,Little Change,Cincle d'Amérique,Cinclus mexicanus,1512,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-10.2,-0.2
American Golden-Plover,Shorebird,-52,Decrease,Pluvier bronzé,Pluvialis dominica,451,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-52.5,-0.5
American Goldfinch,BBS,-28,Decrease,Chardonneret jaune,Spinus tristis,1770,BBS,BBS,Included in group,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,,,BRE,-28.1,-0.1
American Kestrel,BBS,-38,Decrease,Crécerelle d'Amérique,Falco sparverius,997,BBS,BBS,Included in group,,,,,,Included in group,,,,,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,-38,0
American Oystercatcher,NA,NA,NA,Huîtrier d'Amérique,Haematopus palliatus,445,no acceptable data for indicator,"In text, Mar Atlas and others",Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
American Pipit,CBC NA,-60,Decrease,Pipit d'Amérique,Anthus rubescens,1677,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-59.8,0.2
American Redstart,BBS,0.058,Little Change,Paruline flamboyante,Setophaga ruticilla,1983,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,Included in group,,,,,,BRE,0.0585,0.0005
American Robin,BBS,7.4,Little Change,Merle d'Amérique,Turdus migratorius,1601,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,7.37,-0.03
American Three-toed Woodpecker,BBS,400,Increase,Pic à dos rayé,Picoides dorsalis,967,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,403,3
American Tree Sparrow,CBC NA,-67,Decrease,Bruant hudsonien,Spizelloides arborea,1827,CBC NA,CBC NA,Included in group,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-67.2,-0.2
American White Pelican,BBS,1100,Increase,Pélican d'Amérique,Pelecanus erythrorhynchos,723,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,1070,-30
American Wigeon,Western Waterfowl,4.3,Little Change,Canard d'Amérique,Mareca americana,43,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,4.34,0.04
American Woodcock,AMWO_SGS,-33,Decrease,Bécasse d'Amérique,Scolopax minor,511,AMWO_SGS,AMWO_SGS,Included in group,,,Included in group,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,-33.6,-0.6
Ancient Murrelet,Colony Counts West,50,Increase,Guillemot à cou blanc,Synthliboramphus antiquus,554,Colony Counts West,Colony Counts West,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,BRE,50.4,0.4
Anna's Hummingbird,NA,NA,NA,Colibri d'Anna,Calypte anna,335,CBC CA,CBC CA,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,160000,#VALUE!
Arctic Tern,NA,NA,NA,Sterne arctique,Sterna paradisaea,614,no acceptable data for indicator,in text,Included in group,,,,,,,,Included in group,Included in group,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,BRE,NA,#VALUE!
Atlantic Puffin,Colony Counts Atlantic,120,Increase,Macareux moine,Fratercula arctica,561,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,BRE,153,33
Baird's Sandpiper,Shorebird,55,Increase,Bécasseau de Baird,Calidris bairdii,499,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,55,0
Baird's Sparrow,BBS,-58,Decrease,Bruant de Baird,Ammodramus bairdii,1843,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,-57.6,0.4
Bald Eagle,CBC CA,890,Increase,Pygargue à tête blanche,Haliaeetus leucocephalus,781,CBC CA,CBC CA,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,891,1
Baltimore Oriole,BBS,-58,Decrease,Oriole de Baltimore,Icterus galbula,1921,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-58.1,-0.1
Band-tailed Pigeon,BBS,-84,Decrease,Pigeon à queue barrée,Patagioenas fasciata,155,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,Included in group,Included in group,,,,,,BRE,-83.8,0.2
Bank Swallow,BBS,-95,Decrease,Hirondelle de rivage,Riparia riparia,1428,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-95.1,-0.1
Barn Owl,NA,NA,NA,Effraie des clochers,Tyto alba,827,no acceptable data for indicator,"In text, COSEWIC",Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Barn Swallow,BBS,-67,Decrease,Hirondelle rustique,Hirundo rustica,1431,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-67.4,-0.4
Barred Owl,BBS,220,Increase,Chouette rayée,Strix varia,859,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,BRE,219,-1
Barrow's Goldeneye,NA,NA,NA,Garrot d'Islande,Bucephala islandica,73,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Bay-breasted Warbler,BBS,130,Increase,Paruline à poitrine baie,Setophaga castanea,1990,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,125,-5
Belted Kingfisher,BBS,-34,Decrease,Martin-pêcheur d'Amérique,Megaceryle alcyon,906,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-34,0
Bewick's Wren,BBS,-54,Decrease,Troglodyte de Bewick,Thryomanes bewickii,1470,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,,,,BRE,-53.6,0.4
Bicknell's Thrush,BBS,-91,Decrease,Grive de Bicknell,Catharus bicknelli,1580,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,-90.9,0.1
Black-and-white Warbler,BBS,8.2,Little Change,Paruline noir et blanc,Mniotilta varia,1953,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,Included in group,,,,,,BRE,8.15,-0.05
Black-backed Woodpecker,BBS,430,Increase,Pic à dos noir,Picoides arcticus,968,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,433,3
Black-bellied Plover,Shorebird,-47,Decrease,Pluvier argenté,Pluvialis squatarola,449,Shorebird,Shorebird,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,BRE,-47.4,-0.4
Black-billed Cuckoo,BBS,-28,Decrease,Coulicou à bec noir,Coccyzus erythropthalmus,208,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,Included in group,,,,,,,,BRE,-27.6,0.4
Black-billed Magpie,BBS,-29,Decrease,Pie d'Amérique,Pica hudsonia,1389,BBS,BBS,Included in group,Included in group,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-29.3,-0.3
Black-capped Chickadee,BBS,64,Increase,Mésange à tête noire,Poecile atricapillus,1434,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,,,,,BRE,63.9,-0.1
Black-chinned Hummingbird,BBS,130,Increase,Colibri à gorge noire,Archilochus alexandri,332,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,130,0
Black-crowned Night-Heron,BBS,-23,Little Change,Bihoreau gris,Nycticorax nycticorax,753,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-23.4,-0.4
Black-footed Albatross,NA,NA,NA,Albatros à pieds noirs,Phoebastria nigripes,638,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Black-headed Grosbeak,BBS,120,Increase,Cardinal à tête noire,Pheucticus melanocephalus,2052,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,,Included in group,,,,,,BRE,124,4
Black-headed Gull,NA,NA,NA,Mouette rieuse,Chroicocephalus ridibundus,571,no acceptable data for indicator,no acceptable data for indicator,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Black-legged Kittiwake,Colony Counts Atlantic,-43,Decrease,Mouette tridactyle,Rissa tridactyla,565,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,Included in group,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,BRE,-53.1,-10.1
Black-necked Stilt,NA,NA,NA,Échasse d'Amérique,Himantopus mexicanus,442,no acceptable data for indicator,in text,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Black-throated Blue Warbler,BBS,160,Increase,Paruline bleue,Setophaga caerulescens,1995,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,159,-1
Black-throated Gray Warbler,BBS,-12,Little Change,Paruline grise,Setophaga nigrescens,2008,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,BRE,-12,0
Black-throated Green Warbler,BBS,-7.7,Little Change,Paruline à gorge noire,Setophaga virens,2012,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,-7.69,0.01
Black Guillemot,Colony Counts Atlantic,130,Increase,Guillemot à miroir,Cepphus grylle,546,Colony Counts Atlantic,Colony Counts Atlantic,Included in group,,,,,,,,,,,,,Included in group,,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,BRE,161,31
Black Oystercatcher,CBC NA,580,Increase,Huîtrier de Bachman,Haematopus bachmani,446,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,490,-90
Black Scoter,NA,NA,NA,Macreuse à bec jaune,Melanitta americana,69,no acceptable data for indicator,NA,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,NA,#VALUE!
Black Swift,BBS,-86,Decrease,Martinet sombre,Cypseloides niger,252,BBS,BBS,Included in group,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,BRE,-86.4,-0.4
Black Tern,BBS,-65,Decrease,Guifette noire,Chlidonias niger,609,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,-64.7,0.3
Black Turnstone,CBC NA,-40,Decrease,Tournepierre noir,Arenaria melanocephala,482,CBC NA,CBC NA,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,RNB,-41.8,-1.8
Blackburnian Warbler,BBS,43,Increase,Paruline à gorge orangée,Setophaga fusca,1991,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,42.8,-0.2
Blackpoll Warbler,BBS,-84,Decrease,Paruline rayée,Setophaga striata,1994,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,Included in group,,,,,Included in group,,,,,,,,BRE,-83.8,0.2
Blue-gray Gnatcatcher,NA,NA,NA,Gobemoucheron gris-bleu,Polioptila caerulea,1504,BBS,BBS,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,822,#VALUE!
Blue-headed Vireo,BBS,280,Increase,Viréo à tête bleue,Vireo solitarius,1353,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,279,-1
Blue-winged Teal,Western Waterfowl,85,Increase,Sarcelle à ailes bleues,Spatula discors,37,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,85.4,0.4
Blue-winged Warbler,NA,NA,NA,Paruline à ailes bleues,Vermivora cyanoptera,1952,BBS,BBS,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,963,#VALUE!
Blue Jay,BBS,62,Increase,Geai bleu,Cyanocitta cristata,1380,BBS,BBS,Included in group,Included in group,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,62.4,0.4
Bluethroat,NA,NA,NA,Gorgebleue à miroir,Luscinia svecica,1546,no acceptable data for indicator,DD,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Bobolink,BBS,-70,Decrease,Goglu des prés,Dolichonyx oryzivorus,1886,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,-70.2,-0.2
Bohemian Waxwing,CBC NA,-45,Decrease,Jaseur boréal,Bombycilla garrulus,1636,CBC NA,CBC NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,BRE,-45.3,-0.3
Bonaparte's Gull,CBC NA,87,Increase,Mouette de Bonaparte,Chroicocephalus philadelphia,569,CBC NA,CBC NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,86.8,-0.2
Boreal Chickadee,CBC CA,-11,Little Change,Mésange à tête brune,Poecile hudsonicus,1438,CBC CA,CBC CA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,-10.7,0.3
Boreal Owl,NA,NA,NA,Nyctale de Tengmalm,Aegolius funereus,867,no acceptable data for indicator,NA,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,Included in group,,,,,,,,,BRE,NA,#VALUE!
Brandt's Cormorant,NA,NA,NA,Cormoran de Brandt,Phalacrocorax penicillatus,716,no acceptable data for indicator,in text/pers comm,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Brant,Lincoln Estimate,-44,Decrease,Bernache cravant,Branta bernicla,20,Lincoln Estimate,Lincoln Estimate,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,-44.2,-0.2
Brewer's Blackbird,BBS,-64,Decrease,Quiscale de Brewer,Euphagus cyanocephalus,1937,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-63.7,0.3
Brewer's Sparrow,BBS,19,Little Change,Bruant de Brewer,Spizella breweri,1830,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,18.7,-0.3
Broad-winged Hawk,BBS,98,Increase,Petite Buse,Buteo platypterus,813,BBS,BBS,Included in group,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,BRE,97.8,-0.2
Brown-headed Cowbird,BBS,-33,Decrease,Vacher à tête brune,Molothrus ater,1932,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-32.5,0.5
Brown Creeper,BBS,140,Increase,Grimpereau brun,Certhia americana,1451,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,BRE,136,-4
Brown Pelican,NA,NA,NA,Pélican brun,Pelecanus occidentalis,724,no acceptable data for indicator,NA,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,RNB,NA,#VALUE!
Brown Thrasher,BBS,-39,Decrease,Moqueur roux,Toxostoma rufum,1620,BBS,BBS,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,-38.5,0.5
Buff-breasted Sandpiper,NA,NA,NA,Bécasseau roussâtre,Calidris subruficollis,503,no acceptable data for indicator,Site specific studies as listed in WHSRN conservation plan.,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Bufflehead,Western Waterfowl,130,Increase,Petit Garrot,Bucephala albeola,71,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,133,3
Buller's Shearwater,NA,NA,NA,Puffin de Buller,Ardenna bulleri,670,no acceptable data for indicator,NA,Included in group,,,,,,,,,,,,,Included in group,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,RNB,NA,#VALUE!
Bullock's Oriole,BBS,180,Increase,Oriole de Bullock,Icterus bullockii,1915,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,183,3
Burrowing Owl,NA,NA,NA,Chevêche des terriers,Athene cunicularia,855,no acceptable data for indicator,"In text, COSEWIC",Included in group,,,,,,Included in group,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,BRE,NA,#VALUE!
Bushtit,NA,NA,NA,Mésange buissonnière,Psaltriparus minimus,1446,CBC CA,CBC CA,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,328,#VALUE!
Cackling Goose,Lincoln Estimate,900,Increase,Bernache de Hutchins,Branta hutchinsii,22,Lincoln Estimate,Lincoln Estimate,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,905,5
California Condor,NA,NA,NA,NA,NA,NA,no acceptable data for indicator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ext,NA,#VALUE!
California Gull,BBS,69,Increase,Goéland de Californie,Larus californicus,584,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,69,0
California Quail,NA,NA,NA,Colin de Californie,Callipepla californica,103,BBS,BBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_Intr,396,#VALUE!
California Scrub-Jay,NA,NA,NA,Geai buissonnier,Aphelocoma californica,1383,no acceptable data for indicator,NA,Included in group,Included in group,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE_OCC,NA,#VALUE!
Calliope Hummingbird,BBS,93,Increase,Colibri calliope,Selasphorus calliope,345,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,,Included in group,,,,,,BRE,92.7,-0.3
Canada Goose,Western Waterfowl,83,Increase,Bernache du Canada,Branta canadensis,23,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,BRE,82.6,-0.4
Canada Warbler,BBS,-55,Decrease,Paruline du Canada,Cardellina canadensis,2022,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,Included in group,,,,,,,,BRE,-55.3,-0.3
Canvasback,Western Waterfowl,39,Increase,Fuligule à dos blanc,Aythya valisineria,53,Western Waterfowl,Western Waterfowl,Included in group,,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,BRE,38.9,-0.1
Canyon Wren,CBC CA,1.3,Little Change,Troglodyte des canyons,Catherpes mexicanus,1455,CBC CA,CBC CA,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,1.26,-0.04
Cape May Warbler,BBS,250,Increase,Paruline tigrée,Setophaga tigrina,1985,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,Included in group,,,,,,,Included in group,,,,,,BRE,248,-2
Carolina Wren,NA,NA,NA,Troglodyte de Caroline,Thryothorus ludovicianus,1469,BBS,BBS,,,,,,,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,BRE,1400,#VALUE!
Caspian Tern,BBS,530,Increase,Sterne caspienne,Hydroprogne caspia,607,BBS,BBS,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,BRE,535,5
Cassin's Auklet,Colony Counts West,20,Little Change,Starique de Cassin,Ptychoramphus aleuticus,555,Colony Counts West,Colony Counts West,Included in group,,,,,,,,,,,,,Included in group,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,BRE,19.9,-0.1
Cassin's Finch,BBS,-56,Decrease,Roselin de Cassin,Haemorhous cassinii,1750,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,,,Included in group,Included in group,,,,,,BRE,-55.8,0.2
Cassin's Vireo,BBS,14,Little Change,Viréo de Cassin,Vireo cassinii,1352,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,,,Included in group,,,,,,BRE,14.4,0.4
Cattle Egret,NA,NA,NA,Héron garde-boeufs,Bubulcus ibis,747,no acceptable data for indicator,Atlases,Included in group,,,,,,,,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,Included in group,,,BRE_OCC,NA,#VALUE!
Cedar Waxwing,BBS,15,Little Change,Jaseur d'Amérique,Bombycilla cedrorum,1637,BBS,BBS,Included in group,Included in group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRE,14.6,-0.4
Cerulean Warbler,BBS,-70,Decrease,Paruline azurée,Setophaga cerulea,1986,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,Included in group,,,,Included in group,,,,,,,,BRE,-70.1,-0.1
Chestnut-backed Chickadee,BBS,-36,Decrease,Mésange à dos marron,Poecile rufescens,1437,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,Included in group,,,,Included in group,,Included in group,,,,,,,,,BRE,-35.8,0.2
Chestnut-collared Longspur,BBS,-92,Decrease,Plectrophane à ventre noir,Calcarius ornatus,1773,BBS,BBS,Included in group,,,,,,Included in group,,,,,,,,,Included in group,,,,,,,,,,,,,,,,,,,,,,,,BRE,-91.7,0.3
Chestnut-sided Warbler,BBS,-38,Decrease,Paruline à flancs marron,Setophaga pensylvanica,1993,BBS,BBS,Included in group,,,,,Included in group,,,,,,,,,,,,,,,,,,,,Included in group,,,,,,,,Included in group,,,,,,BRE,-38,0
